medicine,before-taking,directions,fda-approval,patient-counseling,pregnancy,storage
echinacea,,"When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.
If you choose to use echinacea, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.
Echinacea is believed to work best when taken at the first sign of a cold. Although echinacea may not prevent a cold, this product might make cold symptoms less severe.
Do not take topical (for the skin) echinacea by mouth. Topical forms of this product are for use only on the skin.
Do not use different forms (tablets, liquid, tincture, teas, etc) of echinacea at the same time without medical advice. Using different formulations together increases the risk of an overdose.
Call your doctor if the condition you are treating with echinacea does not improve, or if it gets worse while using this product.
Store at room temperature away from moisture and heat.
",,,,
ecotrin,,,,,,
edoxaban,,,,,,
effexor,,,,,,
effexor-xr,,,,,,
effient,,,,,,
elagolix,,,,,,
elavil,,,,,,
elidel,,,,,,
eligard,,,,,,
eliquis,,,,,,
emgality,,,,,,
empagliflozin,,,,,,
enalapril,,,,,,
enbrel,,,,,,
enoxaparin,,,,,,
entecavir,,,,,,
entresto,,,,,,
entyvio,,,,,,
epclusa,,,,,,
epidiolex,,,,,,
epipen-auto-injector,,,,,,
eplerenone,,,,,,
ergocalciferol,,,,,,
erleada,,,,,,
ertapenem,,,,,,
erythromycin,,,,,,
escitalopram,,,,,,
esomeprazole,,,,,,
estrace,,,,,,
estradiol,,,,,,
eszopiclone,,,,,,
etanercept,,,,,,
ethambutol,,,,,,
etodolac,,,,,,
etoposide,,,,,,
euthyrox,,,,,,
evista,,,,,,
excedrin,,,,,,
exelon,,,,,,
exemestane,,,,,,
exenatide,,,,,,
ezetimibe,,,,,,
famotidine,"You should not use this medicine if you are allergic to famotidine or similar medicines such as ranitidine (Zantac), cimetidine (Tagamet), or nizatidine (Axid).
To make sure this medicine is safe for you, tell your doctor or pharmacist if you have ever had:


kidney disease;


liver disease;


cancer stomach; or


long QT syndrome (in you or a family member).


Ask a doctor before using famotidine if you are pregnant or breastfeeding.
",,,,,
farxiga,,,,,,
fasenra,,,,,,
febuxostat,,,,,,
felodipine,,,,,,
femara,,,,,,
fenofibrate,,,,,,
fentanyl,,,,,,
ferrous-gluconate,,,,,,
ferrous_sulfate,,,,,,
fexofenadine,,,,,,
filgrastim,,,,,,
finasteride,,,,,,
fintepla,"Before taking Fintepla, tell your healthcare provider about all of your medical conditions, including if you:

have heart problems
have or have had weight loss
have or have had depression, mood problems, or suicidal thoughts or behavior
have liver problems
have kidney problems
are pregnant or plan to become pregnant. Tell your healthcare provider right away if you become pregnant while taking Fintepla. You and your healthcare provider will decide if you should take Fintepla while you are pregnant.

If you become pregnant while taking Fintepla, talk to your healthcare provider about registering with the North American Antiepileptic Drug Pregnancy Registry. You can enroll in this registry by calling 1-888-233-2334 or go to www. aedpregnancyregistry.org. The purpose of this registry is to collect information about the safety of antiepileptic drugs during pregnancy.


are breastfeeding or plan to breastfeed. It is not known if Fintepla passes into your breast milk. Talk to your healthcare provider about the best way to feed your baby while taking Fintepla.

Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.
Know the medicines you take. Keep a list of them to show your healthcare provider or pharmacist when you get a new medicine.
",,,,,
fioricet,,,,,,
firazyr,,,,,,
firmagon,,,,,,
fish_oil,,,,,,
flagyl,,,,,,
flecainide,,,,,,
flexeril,,,,,,
flomax,,,,,,
flonase,,,,,,
florastor,,,,,,
flovent,,,,,,
flovent-hfa,,,,,,
fluconazole,,,,,,
fludrocortisone,,,,,,
fluocinonide-topical,,,,,,
fluoxetine,,,,,,
fluphenazine,,,,,,
fluticasone-and-salmeterol,,,,,,
fluticasone-nasal,,,,,,
fluvoxamine,,,,,,
focalin,,,,,,
folic_acid,,,,,,
forteo,,,,,,
fosamax,,,,,,
fosfomycin,,,,,,
fosinopril,,,,,,
fulvestrant,,,,,,
furosemide,,,,,,
gabapentin,,,,,,
galantamine,,,,,,
garlic,,"When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.
If you choose to use garlic, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.
Do not use different forms (cloves, tablets, oil, etc) of garlic at the same time without medical advice. Using different formulations together increases the risk of an overdose.
Do not crush, chew, or break an enteric coated pill. Swallow it whole. The pill has a special coating to protect your stomach. Breaking the pill will damage this coating.
Call your doctor if the condition you are treating with garlic does not improve, or if it gets worse while using this product.
Garlic can affect blood-clotting and may increase your risk of bleeding. If you need surgery, dental work, or a medical procedure, stop taking garlic at least 2 weeks ahead of time.
Store at room temperature away from moisture, heat, and light, or as directed on the package.
",,,,
gas-x,,,,,,
gaviscon,,"Use exactly as directed on the label, or as prescribed by your doctor.
You must chew the chewable tablet before you swallow it. Then drink about 4 ounces of water or other liquid.
Do not take more than 16 tablets in 24 hours.
Call your doctor if your symptoms do not improve, or if you have acid indigestion more than 2 times per week.
Do not take this medicine for longer than 2 weeks unless your doctor tells you to.
Store at room temperature away from moisture and heat.
",,,,
gavreto,,,,,,
gazyva,,,,,,
gemcitabine,"You should not use gemcitabine if you are allergic to it.
Tell your doctor if you have ever had:


kidney disease;


liver disease (especially cirrhosis);


alcoholism; or


radiation treatment.


Both men and women using  gemcitabine should use effective birth control to prevent pregnancy. Gemcitabine can harm an unborn baby if the mother or father is using this medicine.


If you are a woman, do not use gemcitabine if you are pregnant. You may need to have a negative pregnancy test before starting this treatment. Use effective birth control to prevent pregnancy while you are using this medicine and for at least 6 months after your last dose.


If you are a man, use effective birth control if your sex partner is able to get pregnant. Keep using birth control for at least 3 months after your last dose.


Tell your doctor right away if a pregnancy occurs while either the mother or the father is using gemcitabine.


This medicine may affect fertility (ability to have children) in men. However, it is important to use birth control to prevent pregnancy because gemcitabine can harm an unborn baby.
You should not breastfeed while you are using gemcitabine, and for at least 1 week after your last dose.
",,,,,
gemfibrozil,,,,,,
gemtesa,,,,,,
gemzar,,,,,,
genotropin,,,,,,
gentamicin,,,,,,
genvoya,,,,,,
geodon,"You should not use Geodon if you are allergic to ziprasidone, or if you have:


a heart rhythm disorder;


a personal or family history of long QT syndrome;


uncontrolled or untreated heart failure; or


if you have recently had a heart attack.


Geodon is not approved for use in psychotic conditions related to dementia. Ziprasidone may increase the risk of death in older adults with dementia-related psychosis.
Geodon should never be taken together with any of the following drugs, or a life-threatening heart rhythm disorder could occur:


anagrelide;


methadone;


tacrolimus;


certain anti-nausea medicines including dolasetron, droperidol, or ondansetron;


the antibiotics azithromycin, clarithromycin, erythromycin, levofloxacin, moxifloxacin, and pentamidine;


certain cancer medicines such as arsenic trioxide and vandetanib;


the antidepressants citalopram, escitalopram;


anti-malaria medications including chloroquine, halofantrine, mefloquine;


the following heart rhythm medicines - amiodarone, disopyramide, dofetilide, dronedarone, flecainide, ibutilide, quinidine, sotalol; or


certain anti-psychotics such as chlorpromazine, haloperidol, mesoridazine, pimozide, and thioridazine.


This list is not complete and there may be other drugs that should not be taken at the same time as Geodon. Tell your doctor about all medicines you use.
To make sure Geodon is safe for you, tell your doctor if you have ever had:


any heart problems;


a heart attack or stroke;


a bone marrow or blood cell disorder;


breast cancer;


low blood levels of potassium or magnesium;


diabetes (ziprasidone may raise your blood sugar);


seizures or epilepsy;


suicidal thoughts;


Alzheimer's disease;


trouble swallowing;


liver disease; or


kidney disease.


Tell your doctor if you are pregnant or plan to become pregnant during treatment.
Taking antipsychotic medication during the last 3 months of pregnancy may cause problems in the newborn, such as withdrawal symptoms, breathing problems, feeding problems, fussiness, tremors, and limp or stiff muscles. However, you may have withdrawal symptoms or other problems if you stop taking your medicine during pregnancy. If you become pregnant while taking Geodon, do not stop taking it without your doctor's advice.
It is not known whether ziprasidone passes into breast milk or if it could harm a nursing baby. Talk to your doctor about Geodon if you are planning to breastfeed.
Older adults may be more sensitive to the effects of this medicine.
Geodon is not approved for use by anyone younger than 18 years old.
",,,,,
gilenya,,,,,,
ginkgo-biloba,,"When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.
If you choose to use Ginkgo Biloba, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.
Ginkgo Biloba leaf extract is thought to be likely safe when taken in recommended doses. Ginkgo Biloba seeds are possibly unsafe when taken by mouth after roasting them.
Fresh Ginkgo Biloba seeds in raw form are poisonous and are considered likely unsafe to eat.
Do not use different forms (leaf extract, roasted seeds, tablets, tincture, teas, etc) of Ginkgo Biloba at the same time without medical advice. Using different formulations together increases the risk of an overdose.
Call your doctor if the condition you are treating with Ginkgo Biloba does not improve, or if it gets worse while using this product.
Ginkgo Biloba can affect blood-clotting and may increase your risk of bleeding. If you need surgery, dental work, or a medical procedure, stop taking Ginkgo Biloba at least 2 weeks ahead of time.
Store at room temperature away from moisture, heat, and light.
",,,,
gleevec,,,,,,
glimepiride,,,,,,
glipizide,,,,,,
glucagon,,,,,,
glucophage,,,,,,
glucosamine,,,,,,
glucosamine-chondroitin-with-msm,,"When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.
If you choose to use chondroitin, glucosamine, and MSM, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.
It may take up several weeks before your symptoms improve. Call your doctor if the condition you are treating with chondroitin, glucosamine, and MSM does not improve after a few weeks of treatment, or if your condition gets worse while using this product.
Glucosamine may increase the glucose (sugar) levels in your blood. If you have diabetes, you may need to check your blood sugar more often while taking this medication. You may also need to adjust your insulin dosage. If you need surgery, you may need to stop taking chondroitin, glucosamine, and MSM at least 2 weeks ahead of time. Do not change your dose or medication schedule without advice from your doctor.
Store at room temperature away from moisture, heat, and light.
",,,,
glucotrol,,,,,,
glyburide,,,,,,
glycolax,,,,,,
glycopyrrolate,,,,,,
glyxambi,,,,,,
gocovri,,,,,,
golytely,,,,,,
gralise,,,,,,
granisetron,,,,,,
green-tea,,"When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.
If you choose to use green tea, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.
Do not use different formulations of green tea (such as tablets, extracts, and others) at the same time, unless specifically directed to do so by a health care professional. Using different formulations together increases the risk of an overdose.
Call your doctor if the condition you are treating with green tea does not improve, or if it gets worse while using this product.
If you need a cardiac stress test you should stop taking green tea at least 24 hours before your test.
Store at room temperature away from moisture and heat.
",,,,
griseofulvin,,,,,,
guaifenesin,,,,,,
guanfacine,,,,,,
gvoke-hypopen-injection,,,,,,
haegarda,,,,,,
halcion,,,,,,
haldol,,,,,,
haloperidol,,,,,,
harvoni,,,,,,
heparin,,,,,,
hepatitis-b-adult-vaccine,,,,,,
herceptin,,,,,,
hibiclens,,,,,,
hiprex,,,,,,
hizentra,,,,,,
horizant,,,,,,
humalog,,,,,,
humira,,,,,,
humulin-r,,,,,,
humulin-r-concentrated-u-500,,,,,,
humulin_n,,,,,,
hydralazine,,,,,,
hydrea,,,,,,
hydrochlorothiazide,,,,,,
hydrochlorothiazide-and-lisinopril,,,,,,
hydrochlorothiazide-and-losartan,,,,,,
hydrochlorothiazide-and-olmesartan,,,,,,
hydrochlorothiazide-and-triamterene,,"Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.
Hydrochlorothiazide and triamterene is usually taken once per day.
You may need frequent medical tests. Even if you have no symptoms, tests can help your doctor determine if this medicine is effective.
Your heart function may also need to be checked using an electrocardiograph or ECG (sometimes called an EKG).
Severe illness can affect your potassium levels. Call your doctor if you have a serious illness, injury, or medical emergency.
If you need surgery or medical tests, tell the doctor you currently use this medicine. You may need to stop for a short time.
If you have high blood pressure, keep using this medicine even if you feel well. High blood pressure often has no symptoms. You may need to use blood pressure medicine for the rest of your life.
Store at room temperature away from moisture, heat, and light.
",,,,
hydrochlorothiazide-and-valsartan,,,,,,
hydrocodone,,,,,,
hydrocortisone,,,,,,
hydrocortisone-topical,,,,,,
hydromorphone,,,,,,
hydroquinone-topical,,,,,,
hydroxychloroquine,,,,,,
hydroxyurea,,,,,,
hydroxyzine,,,,,,
hyoscyamine,,,,,,
hytrin,,,,,,
hyzaar,,,,,,
ibrance,,,,,,
ibrutinib,,,,,,
ibuprofen,,,,,,
iclusig,,,,,,
idhifa,,,,,,
ilumya,,,,,,
imatinib,,,,,,
imbruvica,,,,,,
imdur,,,,,,
imfinzi,,,,,,
imipramine,,,,,,
imitrex,,,,,,
imodium,,,,,,
impoyz,,,,,,
imuran,,,,,,
incruse-ellipta,,,,,,
indapamide,,,,,,
inderal,,,,,,
indocin,,,,,,
indomethacin,,,,,,
infliximab,,,,,,
ingrezza,,,,,,
injectafer,,,,,,
inlyta,,,,,,
insulin,,,,,,
insulin-detemir,,,,,,
insulin-glargine,,,,,,
insulin-lispro,,,,,,
insulin-regular,,,,,,
intuniv,,,,,,
invega,,,,,,
invega-sustenna,,,,,,
invokana,,,,,,
irbesartan,,,,,,
isoniazid,,,,,,
isosorbide-dinitrate,,,,,,
isosorbide_mononitrate,,,,,,
isotretinoin,,,,,,
itraconazole,,,,,,
ivabradine,,,,,,
ivermectin,,,,,,
jadenu,,,,,,
jakafi,,,,,,
jalyn,,,,,,
jantoven,,,,,,
janumet,,,,,,
janumet-xr,,,,,,
januvia,,,,,,
jardiance,,,,,,
jasmiel,,,,,,
jatenzo,,,,,,
jemperli,,,,,,
jentadueto,,,,,,
jentadueto-xr,,,,,,
jevtana,,,,,,
jolivette,,,,,,
jornay-pm,,,,,,
jublia,,,,,,
juluca,,,,,,
juvisync,,,,,,
juxtapid,,,,,,
jynarque,,,,,,
k-dur,,,,,,
kadcyla,,,,,,
kadian,,,,,,
kalbitor,,,,,,
kaletra,,,,,,
kaopectate,,,,,,
kapvay,,,,,,
kariva,,,,,,
kayexalate,,,,,,
kcentra,,,,,,
keflex,,,,,,
kenalog,,,,,,
keppra,,,,,,
kesimpta,"Before using Kesimpta, tell your healthcare provider about all of your medical conditions, including if you:

have or think you have an infection including HBV or PML. See Important information.
have ever taken, currently take, or plan to take medicines that affect your immune system. These medicines could increase your risk of getting an infection.
have had a recent vaccination or are scheduled to receive any vaccinations.

You should receive any required ‘live’ or ‘live-attenuated’ vaccines at least 4 weeks before you start treatment. You should not receive ‘live’ or ‘live-attenuated’ vaccines while you are being treated with Kesimpta and until your healthcare provider tells you that your immune system is no longer weakened.
Whenever possible, you should receive any ‘non-live’ vaccines at least 2 weeks before you start treatment with Kesimpta.
Talk to your healthcare provider about vaccinations for your baby if you used ofatumumab during your pregnancy.


are pregnant, think that you might be pregnant, or plan to become pregnant. It is not known if this medicine will harm your unborn baby. Females who can become pregnant should use birth control (contraception) during treatment with Kesimpta and for 6 months after your last treatment. Talk with your healthcare provider about what birth control method is right for you during this time.
are breastfeeding or plan to breastfeed. It is not known if ofatumumab passes into your breast milk. Talk to your healthcare provider about the best way to feed your baby if you take Kesimpta.

Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.

Know the medicines you take. Keep a list of them to show your healthcare provider and pharmacist when you get a new medicine.
",,,,,
ketamine,,,,,,
ketoconazole,,,,,,
ketoconazole-topical,"You should not use  ketoconazole topical if you are allergic to ketoconazole.
Ask a doctor or pharmacist if this medicine is safe to use if you have:


asthma or a sulfite allergy;


an allergic reaction to an antifungal medicine, such as clotrimazole, econazole, or miconazole.


Ask a doctor before using this medicine if you are pregnant.
You should not breast-feed while using ketoconazole topical.
Always follow directions on the medicine label about using this medicine on a child.
",,,,,
ketoprofen,,,,,,
ketorolac-ophthalmic,,,,,,
ketotifen-ophthalmic,,,,,,
kevzara,,,,,,
keytruda,,,,,,
kineret,,,,,,
kisqali,,,,,,
klonopin,,,,,,
klor-con,,,,,,
kombiglyze-xr,,,,,,
krill-oil,,"Use Krill Oil exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended.
Swallow the Krill Oil capsule whole. Do not puncture or open the capsule. Krill Oils may work best if taken with with food, although
Marine Oils like Krill Oil are only part of a complete program of treatment that also includes diet, exercise, and weight control. Follow your diet, medication, and exercise routines very closely.
Store Krill Oil at room temperature away from moisture and heat. Do not freeze.
",,,,
kristalose,,,,,,
