,Uses,Warnings,Dosage,What to avoid,Side effects,Interactions
albuterol,Albuterol inhalation is for use in adults and children who are at least 4 years old. Always follow your doctor's directions when giving albuterol to a child.,Only use albuterol as prescribed by your physician. An overdose of albuterol can be fatal. Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. An overdose of albuterol can be fatal. Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.,"Keep the albuterol canister away from open flame or high heat, such as in a car on a hot day. The canister may explode if it gets too hot. Do not puncture or burn an empty inhaler canister.",Rinse with water if this medicine gets in your eyes.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with albuterol inhalation, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
aldactone,Aldactone is also used to diagnose or treat a condition in which you have too much aldosterone in your body. Aldosterone is a hormone produced by your adrenal glands to help regulate the salt and water balance in your body.,Aldactone has caused tumors in animals but it is not known whether this could occur in people. Do not use this medicine for any condition that has not been checked by your doctor.,25 to 100 mg orally per day,"Avoid driving or hazardous activity until you know how this medicine will affect you. Your reactions could be impaired. Avoid getting up too fast from a sitting or lying position, or you may feel dizzy.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with spironolactone, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
alecensa,"Alecensa is used only if your cancer has a specific genetic marker (an abnormal ""ALK"" gene). Your doctor will test you for this gene.","Call your doctor right away if you have: heart problems--severe dizziness, very slow heartbeats; lung problems--fever, chest pain, cough, trouble breathing; kidney problems--a change in your urine color, little or no urination, swelling in your lower legs; or liver problems--upper stomach pain, dark urine, loss of appetite, yellowing of the skin or eyes.","600 mg orally twice a day

Duration of Therapy: Until disease progression or unacceptable toxicity

Comments: This drug should be taken with food.

Use: Treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib.",Alectinib could make you sunburn more easily. Avoid sunlight or tanning beds during treatment and for at least 7 days after your last dose of Alecensa. Wear protective clothing and use sunscreen (SPF 50 or higher) when you are outdoors.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with alectinib, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
aleve,Aleve may also be used for purposes not listed in this medication guide.,"Aleve may also cause stomach or intestinal bleeding, which can be fatal. These conditions can occur without warning while you are using naproxen, especially in older adults.","Read all patient information, medication guides, and instruction sheets provided to you. Ask your doctor or pharmacist if you have any questions.","Ask your doctor before using an antacid, and use only the type your doctor recommends. Some antacids can make it harder for your body to absorb Aleve.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with naproxen, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
allegra,Allegra may also be used for purposes not listed in this medication guide.,"Tell your doctor if your symptoms do not improve, or if they get worse after you start taking Allegra. Never use more than the recommended dose.",Store Allegra at room temperature away from moisture and heat. Keep the medicine bottle tightly closed.,Avoid taking any other cold or allergy medicines unless your doctor has told you to.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and other drugs may interact with Allegra. Tell your doctor about all medications you use. This includes prescription, over-the-counter, vitamin, and herbal products. Do not start a new medication without telling your doctor."
allopurinol,Allopurinol is also used to decrease levels of uric acid in people who are receiving cancer treatment.,Avoid drinking alcohol. It can make your condition worse. Allopurinol may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Parenteral:
Initial dose: 200 mg/m2/day IV as a single infusion or in equally divided infusions at 6, 8, or 12 hour intervals
Maximum dose: 600 mg/day

Oral:
Age: Less than 6 years: 150 mg orally once a day or in divided doses
Age: 6 to 10 years: 300 mg orally once a day or in divided doses
Age: Greater than 10 years: 600 to 800 mg orally per day in divided doses
-After 48 hours, evaluate and adjust dose as needed

Comments:
-Oral doses in excess of 300 mg should be administered in divided doses.
-When possible, therapy should be initiated 24 to 48 hours before the start of chemotherapy; treatment should be discontinued when the potential for overproduction of uric acid is no longer present.
-The dose to lower serum uric acid to normal or near-normal varies with the severity of the disease; the above dosing represents suggested doses in children; serum uric acid levels should serve as an index.
-Fluid intake should be sufficient to maintain a daily urinary output of at least 2 L; neutral or preferably slightly alkaline urine is desirable.

Use: For the management of patients with leukemia, lymphoma, and malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels.",Avoid drinking alcohol. It may worsen your condition.,"This list is not complete. Other drugs may interact with allopurinol, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
alprazolam,"It is dangerous to purchase alprazolam on the Internet or outside the United States. The sale and distribution of medicines outside the U.S. does not comply with safe-use regulations of the Food and Drug Administration (FDA). These medications may contain dangerous ingredients, or may not be distributed by a licensed pharmacy.","Fatal side effects can occur if you take alprazolam with alcohol, opioid medicine, or other drugs that cause drowsiness or slow your breathing.","Elderly or debilitated patients:
Immediate-release tablets/ODTs:
-Initial dose: 0.25 mg orally administered 2 or 3 times a day

Extended-release tablets:
-Initial dose: 0.5 mg orally once a day

Comments:
-If side effects develop, the dose may be lowered.
-The lowest possible effective dose should be administered and the need for continued treatment reassessed frequently.
-Dosage should be reduced gradually when discontinuing therapy or when decreasing the daily dosage.",Grapefruit may interact with alprazolam and lead to unwanted side effects. Avoid the use of grapefruit products.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with alprazolam. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
alunbrig,"Alunbrig is used only if your cancer has a specific genetic marker (an abnormal ""ALK"" gene). Your doctor will test you for this gene.","Call your doctor at once if you have side effects, such as: severe headache, confusion, feeling light-headed, blurred vision, seeing flashes of light or ""floaters"" in your vision, increased thirst or urination, hunger, nausea, upper stomach pain spreading to your back, unexplained muscle pain or weakness, fever, cough, chest pain, trouble breathing, very slow heartbeats, or feeling like you might pass out.","-Initial Dose: 90 mg orally once a day for the first 7 days
-Maintenance Dose: If initial dose is tolerated during the first 7 days, increase to 180 mg orally once a day.
-Duration of Therapy: Until disease progression or unacceptable toxicity

Use: Treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib.",This medicine may cause blurred vision and may impair your reactions. Avoid driving or hazardous activity until you know how this medicine will affect you.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with brigatinib. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
amantadine,"Amantadine is available as tablets, capsules, and oral solution.","Do not stop taking amantadine all of a sudden without calling your doctor. You may have a greater risk of side effects. If you need to stop amantadine, you will want to slowly stop it as ordered by your doctor.","Store at room temperature away from moisture, heat, and light. Keep the bottle tightly closed when not in use.","Avoid taking diet pills, caffeine pills, or other stimulants (such as ADHD medications) without your doctor's advice. Taking a stimulant together with amantadine can increase your risk of unpleasant side effects.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with amantadine, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
ambien,Your doctor will determine which form of Ambien is best for you.,Do not take zolpidem if you have consumed alcohol during the day or just before bed.,Store at room temperature away from moisture and heat. Do not freeze.,Do not take this medicine if you have consumed alcohol during the day or just before bed.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with zolpidem, making it less effective or increasing side effects. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
amiodarone,Amiodarone is for use only in treating life-threatening heart rhythm disorders.,"Tell your doctor if you have signs of a thyroid problem, such as weight changes, extreme tiredness, dry skin, thinning hair, feeling too hot or too cold, irregular menstrual periods, or swelling in your neck (goiter).","IV:
Initial dose: 1000 mg over the first 24 hours of therapy, delivered by the following infusion regimen:
-Loading infusions: 150 mg over the first 10 minutes (15 mg/min), followed by 360 mg over the next 6 hours (1 mg/min)
-Maintenance infusion: 540 mg over the remaining 18 hours (0.5 mg/min)

Maintenance dose: After the first 24 hours, continue the maintenance infusion rate of 0.5 mg/min; may increase infusion rate to achieve effective arrhythmia suppression.
-Supplemental infusions: 150 mg over 10 minutes (15 mg/min) for breakthrough episodes of ventricular fibrillation (VF) or hemodynamically unstable ventricular tachycardia (VT)

Maximum dose: Initial infusion rate: 30 mg/min

Duration of therapy: Until ventricular arrhythmias stabilize (most patients require 48 to 96 hours); maintenance infusion of up to 0.5 mg/min can be continued for up to 3 weeks.

Comments: Mean daily doses greater than 2100 mg for the first 24 hours were associated with increased risk of hypotension.

Use: Initiation of treatment and prophylaxis of frequently recurring VF and hemodynamically unstable VT in patients refractory to other therapy.


ORAL:
Loading dose: 800 to 1600 mg orally per day for 1 to 3 weeks (occasionally longer) until adequate arrhythmia control is achieved or if side effects become prominent, then switch to adjustment dose
Adjustment dose: 600 to 800 mg orally per day for 1 month, then switch to maintenance dose
Maintenance dose: 400 mg orally per day

Comments:
-May be administered once a day; twice a day dosing is recommended for total daily doses of 1000 mg or more or in patients who experience gastrointestinal tolerance.
-Close monitoring is indicated during the loading phase and surrounding any dose adjustments.
-Maintenance dose should be determined according to antiarrhythmic effect as assessed by patient tolerance as well as symptoms, Holter recordings, and/or programmed electrical stimulation; some patients may require up to 600 mg/day while some can be controlled on lower doses.

Use: Treatment of life-threatening recurrent VF or life-threatening recurrent hemodynamically unstable VT in patients refractory to adequate doses of other antiarrhythmics or those intolerant of alternative agents.",Amiodarone could make you sunburn more easily. Avoid sunlight or tanning beds. Wear protective clothing and use sunscreen (SPF 30 or higher) when you are outdoors.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with amiodarone. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
amitiza,Amitiza is only for use in adults.,Call your doctor at once if you have severe or ongoing nausea or diarrhea.,"8 mcg orally 2 times a day

Use: Treatment of irritable bowel syndrome with constipation (IBS-C) in women age 18 years and older.","Follow your doctor's instructions about any restrictions on food, beverages, or activity.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with lubiprostone, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
amitriptyline,Amitriptyline may also be used for purposes not listed in this medication guide.,"Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself.","12 years or older: 10 mg orally 3 times a day AND 20 mg orally once a day at bedtime

Comments:
-The full therapeutic effect may take as long as 30 days to develop.
-Dose adjustments should be made according to clinical response.

Use: Relief of symptoms of depression",Avoid exposure to sunlight or tanning beds. Amitriptyline can make you sunburn more easily. Wear protective clothing and use sunscreen (SPF 30 or higher) when you are outdoors.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may affect amitriptyline, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
amlodipine,Amlodipine is for use in adults and children who are at least 6 years old.,Your chest pain may become worse when you first start taking amlodipine or when your dose is increased. Call your doctor if your chest pain is severe or ongoing.,"Store at room temperature away from moisture, heat, and light.","Avoid getting up too fast from a sitting or lying position, or you may feel dizzy. Get up slowly and steady yourself to prevent a fall.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with amlodipine, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
amoxicillin_clavulanate,"Amoxicillin and clavulanate potassium is used to treat many different infections caused by bacteria, such as , pneumonia, ear infections, bronchitis, urinary tract infections, and infections of the skin.","Amoxicillin and clavulanate potassium can make birth control pills less effective. Ask your doctor about using a non-hormone method of birth control (such as a condom, diaphragm, spermicide) to prevent pregnancy while taking this medicine.",Store the liquid in the refrigerator. Throw away any unused liquid after 10 days.,"Antibiotic medicines can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or bloody, call your doctor before using anti-diarrhea medicine.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with amoxicillin and clavulanate potassium, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
amoxicillin,There are many brands and forms of amoxicillin available and not all brands are listed on this leaflet.,"Antibiotic medicines can cause diarrhea. This may happen while you are taking amoxicillin, or within a few months after you stop taking it. This may be a sign of a new infection. If you have diarrhea that is watery or bloody, stop taking this medicine and call your doctor. Do not use anti-diarrhea medicine unless your doctor tells you to.",You may store liquid amoxicillin in a refrigerator but do not allow it to freeze. Throw away any liquid mediicne that is not used within 14 days after it was mixed at the pharmacy.,"Antibiotic medicines can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or bloody, call your doctor before using anti-diarrhea medicine.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with amoxicillin, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
androgel,AndroGel will not enhance athletic performance and should not be used for this purpose.,Misuse of AndroGel can cause dangerous or irreversible effects. Never use more than your prescribed dose. Do not share this medicine with another person.,Store at room temperature away from moisture and heat.,"Avoid swimming, bathing, or showering for at least 5 hours after applying AndroFel.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with testosterone, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
annovera,One Annovera vaginal ring may be reused for up to 1 year.,Do not use the Annovera vaginal ring if you are pregnant or if you have recently had a baby.,"After using a Annovera vaginal ring for 1 year, dispose of the used vaginal ring in the case or pouch it came in and throw it away where children and pets cannot get to it. Do not flush the ring down a toilet.",You may need to avoid drinking grapefruit juice while using Annovera with certain other medicines. Ask your doctor or pharmacist.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Tell your doctor about all your current medicines and any medicine you start or stop using. Many drugs can affect Annovera, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here."
apokyn,It is not known if Apokyn is safe and effective in children.,"You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medication. Talk with your doctor if you believe you have any intense or unusual urges while taking Apokyn.","Dose initiation should be supervised by a healthcare provider: Antiemetic premedication should be initiated prior to therapy due to high incidence of nausea and vomiting

Initial dose: 2 mg (0.2 mL) subcutaneously during an ""off"" episode
-First dose: Obtain pulse, supine and standing blood pressure pre-dose, 20, 40, and 60 minutes post-dose; if significant hypotension is present 60 minutes post-dose, recheck after 60 minutes; if significant hypotension occurs in response to initial dose, patients should not be considered good candidates for treatment
-Titration: If initial dose is tolerated, but response is insufficient, may increase in 2 mg increments up to 6 mg (under medical supervision) or in increments of 1 mg every few days up to 3 mg (outpatient) for subsequent ""off"" episodes; allow at least 2 hours between doses; assess response until an effective and tolerable dose is achieved
Maintenance dose: 2 to 6 mg subcutaneously during an ""off"" episode; doses should be separated by at least 2 hours; average dosing frequency in clinical trials was 3 times per day
Maximum single dose: 6 mg (0.6 mL)
Maximum dosing frequency: 5 times per day
Maximum daily dose: 20 mg (2 mL) per day
",Do not drink alcohol. It can further lower your blood pressure and may increase certain side effects of apomorphine.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs may interact with apomorphine. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
aricept,"Aricept is not a cure for Alzheimer's disease. This condition will progress over time, even in people who take donepezil.",Aricept can cause side effects that may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be awake and alert.,"Initial dose: 5 mg orally once a day, in the evening prior to retiring

Mild to moderate Alzheimer's disease:
-Maintenance dose: 10 mg orally once a day, after the patient has been on an initial dose of 5 mg once a day for 4 to 6 weeks

Moderate to severe Alzheimer's disease:
-Maintenance dose: 23 mg orally once a day, after the patient has been on a dose of 10 mg once a day for at least 3 months

Comments: A higher dose of 10 mg may or may not provide a statistically significantly greater clinical benefit than a 5 mg dose. Prescriber and patient's preference should be considered.

Uses: For mild, moderate, and severe Alzheimer's type dementia",This medicine may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with donepezil, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
arimidex,"Arimidex is often given to women whose cancer has progressed even after taking tamoxifen (Nolvadex, Soltamox).","Arimidex may increase your risk of a stroke or blood clot. Call your doctor at once if you have sudden numbness or weakness, (especially on one side of the body), sudden severe headache, slurred speech, or problems with vision or balance.","Initial dose: 1 mg orally taken once a day
Duration of therapy: Until tumor progression (treatment of advanced breast cancer); unknown (adjuvant treatment of early breast cancer)

Uses:
-Adjuvant treatment of postmenopausal women with hormone receptor-positive early breast cancer;
-First-line treatment of postmenopausal women with hormone receptor-positive or hormone receptor unknown locally advanced or metastatic breast cancer;
-Second-line treatment of advanced breast cancer in postmenopausal women with disease progression following tamoxifen therapy.",Avoid driving or hazardous activity until you know how this medicine will affect you. Your reactions could be impaired.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with anastrozole, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
