item,count
"A normal urinary tract with kidneys, ureters, bladder, and urethra   Image credit: National Institute of Diabetes and Digestive and Kidney Diseases",2
Why would my healthcare provider order additional tests?,2
Video credit: American Society of Hematology,2
Do I need to have a liver biopsy?,2
The Tests,2
The components of blood and their importance. Video credit: American Society of Hematology,2
Apolipoprotein E Genotyping,2
Why would a man need a test for FSH and LH? I thought these were female hormones.,2
Elsewhere On the Web,2
"Invasive breast cancer cells growing through the wall of a breast duct. Image credit: Don Bliss, NCI",2
Did You Know? Prostate Cancer. Video credit: National Cancer Institute,2
"Structure of the kidney. Image credit: Alan Hoofring, National Cancer Institute",2
Is there a reason to test for APOE genotype more than once?,2
"Diagram of the Respiratory System, including the Lungs.  Image credit: National Cancer Institute",2
Tuberculin Skin Test,2
"Respiratory infections spread easily through coughing and sneezing, and touching objects contaminated with microbes. Image credit: James Gathany, CDC",1
Respiratory Pathogens Panel,1
"Respiratory syncytial virus. Image credit: Craig Lyerla, CDC",1
Respiratory Syncytial Virus (RSV) Testing,1
Shouldn't someone with a family history of diabetes have a fructosamine test?,1
Taking a Molecular COVID-19 Test,1
Taking a COVID-19 Antigen Test,1
Taking a BRCA Gene Test,1
Taking the 10-Panel Drug Test,1
Renin,1
Taking the Cholesterol Test,1
Renal Panel,1
Renal Function Panel,1
Taking the Comprehensive Metabolic Panel,1
Related Videos,1
Taking the Gonorrhea Test,1
Taking a COVID-19 Antibody Test,1
Retinol,1
Taking a Antinuclear Antibody Test,1
Tacrolimus,1
See Reference Ranges,1
"Structures of the pancreas. Image credit: Don Bliss, National Cancer Institute",1
Stx gene detection by PCR,1
Sweat Chloride Sample Collection,1
Sweat Chloride Test,1
Synovial Fluid Analysis,1
Syphilis Detection Tests,1
Syphilis Tests,1
Sample required?,1
T3 (Free and Total),1
"T4, Free",1
Salicylates (Aspirin),1
Rubella Test,1
Table of biomarkers used for diagnosing and monitoring acute coronary syndrome,1
"Rubella Antibodies, IgM and IgG",1
Rheumatoid Factor (RF),1
Table of Biomarkers Used for Prognosis,1
Reticulocytes,1
Reticulocyte Count Reference Range,1
Reticulocyte Count,1
Table of Examples of Tumor Markers,1
Taking the HIV Test,1
Related Images and Videos,1
Taking the Pap Smear,1
PSEN1,1
"The colon, rectum, and surrounding organs, including the stomach, small intestine, and anus are shown. An inset shows a close-up view of the nearby lymph nodes. Image credit: Alan Hoofring, NCI",1
Red Blood Cell Count (RBC),1
"The colon, rectum, stomach, small intestine, and anus are shown. IBD is general name for diseases that cause inflammation in the small intestine and colon. Image credit: Alan Hoofring, NCI",1
Rapid urease test (RUT) for <em>H. pylori</em>,1
"The female reproductive system, including the uterus, fallopian tubes and ovaries. Image credit: Don Bliss, NCI",1
Rapid Antigen Group A Streptococcus Test,1
"The female reproductive system, including the vagina. Image credit: Don Bliss, NCI",1
Quantitative Immunoglobulin A,1
The influenza virus causes millions of illnesses each year. Image credit: National Institute of Allergy and Infectious Diseases,1
"The life cycle of Trichomonas vaginalis, which causes Trichomoniasis. Image credit: A. Silva, M. Moser, CDC",1
PS1 or PSEN1 Genetic Mutation Analysis,1
Taking the Thyroid Panel Test,1
"The male reproductive system, including the penis. Image credit: Don Bliss, NCI",1
Prothrombin Time and International Normalized Ratio (PT/INR),1
Prothrombin 20210 Mutation,1
"Protein Electrophoresis, Immunofixation Electrophoresis",1
Protein Electrophoresis,1
"The male reproductive system, including the testicle. Image credit: Don Bliss, NCI",1
"The male reproductive system, including the testicles. Image credit: Don Bliss, NCI",1
"Protein C, Functional or Antigen; Protein S, Functional or Antigen (Free or Total)",1
Protein C and Protein S,1
Protein,1
"The colon, rectum, and surrounding organs, including the stomach, small intestine, and anus are shown. An inset shows a close-up view of the nearby lymph nodes.  Image credit: Alan Hoofring, NCI",1
Red Blood Cell Count Reference Range,1
"The CDC recommends that everyone 6 months old and older get a flu shot each season. Image credit: Douglas Jordan, CDC",1
"The breast and nearby lymph nodes. Image credit: Don Bliss, NCI",1
Related Pages,1
Tau Protein and Amyloid Beta 42 Peptide,1
Tau Protein and Beta Amyloid,1
TB Skin Test,1
Related Media,1
"Structures of the kidney. Alan Hoofring, National Cancer Institute",1
T-Cell Receptor Gene Rearrangement,1
Related Images and Infographic,1
TCO<sub>2</sub>,1
Related Image,1
Testosterone,1
Red Cell Indices,1
Red blood cells (RBCs),1
Red Blood Cell (RBC) Tests,1
Tests for Infections,1
Red Blood Cell (RBC) Antibody Screen,1
Red Blood Cell (RBC) Antibody Identification,1
The BCR-ABL gene sequence is the result of a chromosomal translocation. Image credit: National Human Genome Research Insitute,1
The biliary system. Image credit: National Institute of Diabetes and Digestive and Kidney Diseases,1
"The brain and nearby structures (including the skull, meninges, ventricles and spinal cord). An enlarged inset shows the skull, fluid, and brain. Image credit: Alan Hoofring, National Cancer Institute",1
Red Blood Cell Indices,1
"Structures of the kidney. Image credit: Alan Hoofring, NCI",1
"Structures of a kidney. Image credit: Alan Hoofring, National Cancer Institute",1
Semen Analysis,1
Should I get a tuberculosis screening test if I am pregnant?,1
Soluble Mesothelin-Related Peptides,1
"Should I take magnesium supplements? And if so, how much?",1
Should I just take iron supplements?,1
Should I have more than one multiparameter gene expression test done?,1
Should I have both the serotonin and 5-HIAA tests performed?,1
Should I have a test for CA 27.29 in addition to the CA 15-3 test?,1
Should I have a PT done at the same time of day?,1
Soluble Transferrin Receptor,1
Source: Lab Tests Online - Australia,1
Should I get the HBV vaccine?,1
Should I get a tuberculosis skin test if I am pregnant?,1
Should I get a flu shot?,1
Should I tell all my healthcare providers about being diagnosed with drug-induced lupus?,1
Should I eat more protein to make up for lost protein?,1
Should I be tested for HTLV-I/II if I have some of the risk factors?,1
Should I be taking copper supplements or trying to get more copper in my diet?,1
Should I be concerned if my doctor only orders a total calcium test and not free or ionized calcium?,1
Should I ask my healthcare practitioner about having NIPS performed?,1
Sources,1
Prostate Cancer Antigen 3,1
Specific gravity,1
"Sputum Culture, Bacterial",1
Stem cells in the bone marrow differentiate and mature into one of several types of blood cells. Image credit: National Human Genome Research Institute,1
Stool Chymotrypsin,1
Should I take mineral supplements?,1
Should I tell all of my doctors if I have CAH?,1
Should every woman be treated with antibiotics for GBS during delivery or during pregnancy?,1
Size,1
Should I tell other doctors about my warfarin sensitivity?,1
Should pregnant women be vaccinated for rubella?,1
Should I tell my partner that I have trichomoniasis?,1
Should relatives of someone with an inherited protein C or protein S deficiency be tested?,1
Should I tell my partner that I have syphilis?,1
Should someone with a factor V Leiden mutation be on long-term anticoagulant therapy?,1
Should I tell my partner that I have herpes?,1
Should I tell my partner that I have chlamydia?,1
Sickle Cell Tests,1
Should I tell my other healthcare providers that I am taking tacrolimus?,1
Sirolimus,1
Should I tell my other healthcare providers that I am taking sirolimus?,1
Sodium,1
Should I tell my other healthcare providers that I am taking mycophenolate?,1
Should I tell my other healthcare providers about my CYP2C19 test results?,1
Smooth Muscle Antibody (SMA) and F-actin Antibody,1
Should I tell my other doctors I have von Willebrand disease?,1
Should I tell my healthcare providers that I am taking clopidogrel?,1
Should I tell my dentist or other healthcare providers about my antithrombin deficiency?,1
Should I tell a new healthcare provider that I have cardiolipin antibodies?,1
Should I tell a new healthcare practitioner that I have antiphospholipid antibodies?,1
Should I tell all of my healthcare practitioners that I have an HIT antibody?,1
Should I tell all of my healthcare practitioners if I have CAH?,1
Should I tell all of my doctors that I am taking theophylline?,1
Should family members be tested?,1
Should every pregnant woman have amniotic fluid analysis?,1
Serotonin,1
Should everyone be tested for arboviruses?,1
Should everyone have an Lp-PLA2 test?,1
Should everyone have an Lp(a) test done?,1
"Structure of a kidney. Image credit: Alan Hoofring, National Cancer Institute",1
Should everyone have an intrinsic factor antibody test?,1
Should everyone have an HLA-B27 test done?,1
Should everyone be tested for toxoplasmosis?,1
Should everyone be tested for measles and mumps immunity?,1
Should everyone be tested for HTLV-I/II?,1
Should everyone be tested for <em>H. pylori</em>?,1
Should everyone be tested for CYP2C19 gene variations?,1
Should everyone be tested for CCP antibody?,1
Should everyone be tested for antiphospholipid antibodies?,1
Should everyone have an SMRP test to screen for mesothelioma?,1
Should both a lactoferrin and a calprotectin test be done?,1
Should athletes and others pay particular attention to re-hydrating after playing sports or exercising to keep their sodium levels up?,1
Should all antibiotic therapy be monitored like aminoglycosides?,1
Shingles is a painful rash that develops on one side of the face or body. The rash forms blisters that typically scab over in 7 to 10 days and clears up within 2 to 4 weeks. Image credit: NIAID,1
Shiga toxin-producing Escherichia coli,1
Shiga-like toxin by EIA,1
Shape,1
Sex Hormone Binding Globulin (SHBG),1
"Structure of the pancreas. Image credit: Don Bliss, National Cancer Institute",1
Should my other family members be tested for warfarin sensitivity?,1
Serum Free Light Chains,1
Should everyone have an RBC antibody screen performed?,1
Should everyone have a parietal cell antibody test?,1
Should every pregnant woman have a folate test?,1
Should everyone who is overweight have a leptin test performed?,1
Should everyone with suspected tuberculosis have an ADA test performed?,1
Should everyone with muscle pain and weakness have a myoglobin test?,1
Should everyone with muscle pain and weakness have a CK test?,1
Should everyone with lung cancer have ALK mutation testing?,1
Should everyone with liver damage be tested for liver kidney microsome type 1 antibodies (anti-LKM-1)?,1
Stool Culture,1
Should everyone with flu-like symptoms be tested for Legionella?,1
Stool DNA,1
Should everyone with cancer have KRAS mutation testing?,1
Should everyone with cancer have genetic testing performed?,1
Should everyone who takes aspirin regularly have a salicylate test performed?,1
Stool DNA Test,1
Should everyone have a serum free light chain test?,1
Stool Elastase,1
Should everyone have vitamin B12 and folate tests?,1
Should everyone have this testing done?,1
Should everyone have their levels of trace minerals tested?,1
Should everyone have their B vitamin levels checked?,1
Strep Throat Test,1
Should everyone have platelet function tests?,1
Should everyone have pharmacogenetic tests performed?,1
Should everyone have lactose tolerance testing?,1
Should everyone have bone marker testing performed?,1
Should everyone have a ZPP test?,1
Prostate Specific Antigen (PSA),1
Phenytoin,1
Prolactin,1
LDL Particle Testing (LDL-P),1
Lipoprotein (a),1
Lipid Panel,1
Lipase,1
"Like the rapid strep test, can the anti-DNase B test be performed in my doctor's office?",1
"Like a flu test or strep test, can this test be performed in my healthcare practitioner's office?",1
"Light Chains, Free",1
"Lifecycle of the parasite Toxoplasma gondii. Image credit: Alexander da Silva, Melanie Moser, CDC",1
Lifecycle of Giardia. Image credit: CDC,1
Levetiracetam,1
Leukocyte esterase,1
Leptin,1
Legionella Testing,1
"Legionella pneumophilia, the cause of Legionnaires disease, Image credit: Janice Haney Carr, CDC",1
Lead,1
"LDL Cholesterol, Direct",1
I was diagnosed with ductal-carcinoma in situ. Will hormone receptor testing be done?,1
LDL Cholesterol,1
Lactose Tolerance Tests,1
Lactoferrin,1
Lactate Dehydrogenase (LD),1
Lactate,1
KRAS Mutation,1
Kidney Stone Testing,1
Kidney Stone Risk Panel,1
Kidney Stone Analysis,1
Kidney and urinary tract. Image credit: National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),1
Ketones,1
JAK2 V617F,1
JAK2 Mutation,1
JAK2 Exon 12 Mutation,1
Lipoprotein-associated Phospholipase A2,1
Liquid Biopsy,1
Lithium,1
Liver Kidney Microsome Type 1 Antibodies (Cytochrome P450 2D6 Antibodies),1
Methylmalonic Acid,1
"Methylenetetrahydrofolate Reductase Mutations, C677T and A1298C",1
Methotrexate,1
"Methicillin-resistant Staphylococcus aureus (MRSA) are strains of &quot;staph&quot; bacteria that are resistant to the antibiotic methicillin and related antibiotics. Imaged credit: Frank Deleo, CDC",1
Methicillin-resistant <em>Staphylococcus aureus</em> Screening,1
Metanephrines,1
"Mercury, Urine and Blood",1
Mercury,1
"Medicines taken by mouth (oral) pass through the liver before they are absorbed into the bloodstream. Other forms of drug administration bypass the liver, entering the blood directly. Image credit: National Institute of General Medical Sciences",1
Measles and Mumps Tests,1
"MCV, MCH, MCHC, and RDW",1
"Maternal Serum Screening, Second Trimester",1
Maternal Serum Screen,1
Marijuana (THC) Testing,1
Magnesium,1
Lymphocytes,1
Luteinizing Hormone (LH),1
Lupus Anticoagulant Testing,1
Lp-PLA2,1
Low-Density Lipoprotein Particles,1
Low-Density Lipoprotein Cholesterol,1
"Location of the thyroid. Don Bliss, National Cancer Institute",1
Location of the stomach and esophagus. HER2 testing is used in cancers of the esophagus and stomach.  Image credit: National Cancer Institute,1
Location of the parathyroid glands. Image credit: National Institute of Diabetes and Digestive and Kidney Diseases,1
"Location of the ovaries. Image credit: Don Bliss, National Cancer Institute",1
"Location of the liver. Don Bliss, National Cancer Institute",1
Location of the gallbladder. Image credit: NIDDK,1
"Location of the adrenal gland. Image credit: Don Bliss, National Cancer Institute",1
Liver Panel,1
I will have several thyroglobulin tests done over time. Why do I need to have them done at the same lab?,1
I’ve recently been diagnosed with type 2 diabetes. Will I need to monitor my glucose levels every day?,1
Programmed Death-Ligand 1 (PD-L1) Immunohistochemistry,1
Is there any reason to repeat a <em>JAK2</em> mutation test?,1
Is there anything I can do to raise or lower my thyroglobulin level?,1
Is there anything I can do to prevent or get rid of antiphospholipid antibodies?,1
Is there anything I can do to prevent getting MuSK binding antibodies?,1
Is there anything I can do to prevent getting AChR binding antibodies?,1
Is there anything I can do to prevent albuminuria (microalbuminuria)?,1
Is there anything I can do to lower my LD?,1
Is there anything I can do to lower my IgE level?,1
Is there anything I can do to lower my CK level?,1
Is there anything I can do to increase protein C and protein S levels?,1
Is there anything I can do to get rid of the alcohol in my system faster?,1
Is there anything I can do to get rid of lupus anticoagulant?,1
Is there anything I can do to decrease my lactate level?,1
Is there anything I can do to decrease my anticentromere antibody level?,1
Is there anything I can do to affect my anti-dsDNA level?,1
Is there any other way to measure my oxygen levels?,1
I’ve heard some athletes are tested for EPO. Why?,1
Is there a home test I can use to check my potassium level?,1
Is there a home test for LH?,1
Is there a home test for hemoglobin A1c?,1
Is there a home test for FSH?,1
Is there a home test for albumin levels?,1
Is there a blood test for RSV?,1
Is there a blood test for Legionella?,1
Is the PTT always used to monitor heparin therapy?,1
Is the CK test used for purposes other than detecting skeletal muscle damage?,1
Is the CALR mutation hereditary?,1
Is the breath test used for other things?,1
Is the amount of amniotic fluid present important?,1
Is testing before treatment really necessary?,1
Is sirolimus given to patients who receive organs other than kidneys or have other conditions?,1
Is there any way to cure iron overload?,1
Is there any way to lower my Lp(a)?,1
Is there any way to prevent a pheochromocytoma from forming?,1
Is there any way to prevent getting a parvovirus B19 infection?,1
"I’ve heard of ""ultrasensitive PSA."" What is it?",1
I’ve heard of Trinder's test for salicylates. What is it?,1
I’ve heard of a stool DNA test for colon cancer screening. What is it?,1
I've had strep throat before and was treated with antibiotics. Can I get it again?,1
I've had pneumonia before and currently have asthma. Why has my doctor never ordered this test for me?,1
Is vitamin D a necessary component of calcium supplements?,1
Is toxoplasmosis treatable?,1
Is toxoplasmosis contagious?,1
Is this the same parvovirus that affects dogs and cats? Can I catch it from my pet?,1
"Is this test used for purposes other than detecting problems with the adrenal gland, ovaries or testicles?",1
Is this test used for other purposes?,1
Is this test recommended for everyone with cancer?,1
Is this test different than a platelet function test?,1
Is the time of day a factor when collecting a urine sample?,1
Is there treatment for VWD?,1
Is there treatment available for lactose intolerance?,1
Is there something I can do to get rid of my cryoglobulins?,1
Is there something I can do to alter my immunoglobulin levels?,1
Is there a way to prevent viral hepatitis?,1
Is there a way to prevent hepatitis A?,1
Is there a way to naturally increase my testosterone?,1
Is there a vaccine like the flu shot to prevent RSV?,1
Is there a vaccine for West Nile virus (WNV)?,1
Is there a urine test for bilirubin?,1
Is there a treatment for low EPO?,1
"Is there a reason to test a ""peak"" sample when my TNF inhibitor should be at its highest level, or a random sample (neither peak nor trough)?",1
Is there a reason to repeat a xylose test?,1
"Is there a reason to choose one type of sample (blood, bone marrow, or tissue) over another for testing?",1
Is there any way to prevent getting CMV?,1
Microscopic Exam,1
Monitored Drugs by Category,1
Monocytes,1
"Other than stool tests, are there other ways of screening for colon cancer?",1
PD-L1,1
PCR and Molecular COVID-19 Test Results,1
PCR and Molecular COVID-19 Testing,1
PCA3,1
Parvovirus B19,1
"Partial Thromboplastin Time (PTT, aPTT)",1
Parietal Cell Antibody,1
Parathyroid Hormone (PTH),1
"Parasitic Examination, stool",1
Pap Smear Results,1
Pap Smear (Pap Test),1
"Pancreas structure. Image credit: Don Bliss, National Cancer Institute",1
Ova and Parasite Exam,1
"Other than stool tests, are there other ways to screen for colon cancer?",1
"Other than organ and tissue compatibility testing, what else is HLA gene and antigen testing used for?",1
Mononucleosis (Mono) Test,1
Other References,1
"Osmolality (serum, plasma, urine, stool)",1
Osmolality and Osmolal Gap,1
Opioid Testing,1
On The Site,1
One of the results from my renal panel is slightly out of range. What does this mean?,1
One of the results from my electrolyte panel is slightly out of range. What does this mean?,1
One of the results from my BMP is slightly out of range. What does this mean?,1
"Once I've had a pathogenic bacterial infection, can I be re-infected?",1
"Once I've had a parasitic infection, can I be re-infected?",1
"Once I've had a <em>C. difficile</em> infection, can I be re-infected?",1
"Once I have had a <em>Toxoplasma gondii</em> infection, can I get infected again?",1
"Once I have gestational diabetes, will I continue to have diabetes after delivery?",1
"Once I have developed TNF inhibitor antibodies, will they go away?",1
Pericardial Fluid Analysis,1
Peripheral Blood Smear,1
Peritoneal Fluid Analysis,1
pH,1
Progesterone,1
Procalcitonin,1
Prescription Opioids: Even When Prescribed by a Doctor. Video credit: Centers for Disease Control and Prevention,1
Prenatal Group B Strep (GBS) Screening,1
Prenatal Group B <em>Streptococcus</em> Screening,1
Pregnenolone,1
Pregnancy Test (hCG),1
Prealbumin,1
"Potassium, blood or urine",1
Potassium,1
PO<sub>4</sub>,1
Porphyrin Tests,1
Porphyrins,1
PML-RARA,1
Pleural Fluid Testing,1
Platelet Tests,1
Platelet Function Tests,1
Platelet Count Reference Range,1
Platelet Count,1
Plasma Free Metanephrines,1
"Plaque can narrow blood vessel walls. Image credit: National Heart, Lung and Blood Institute",1
"Photo of fluorescent antibody stained sample showing several Toxoplasma parasites. Image credit: Dr. Sulzer, CDC",1
Phosphorus,1
"Phenytoin, total and free",1
Theophylline,1
Phenobarbital,1
Pharmacogenomics,1
Pharmacogenetic Tests,1
"Pharmacogenetics offers healthcare providers the opportunity to individualize drug therapy for people based on their genetic make-up. Image credit: E. del Aguila III, National Human Genome Research Institute",1
"Once I have been treated for a bacterial lower respiratory tract infection, can the infection return?",1
"Once I have been treated, can my infection return?",1
"Once I have been treated and/or recovered from hepatitis C, can I get infected again?",1
My father has been diagnosed with probable late onset Alzheimer disease and his APOE genotype test is negative for e4 alleles. Should his doctor be doing other genetic testing?,1
My doctor told me that my extra ACTH is not produced in my pituitary gland. What is going on?,1
My doctor said I have <em>Bordetella parapertussis</em>. Is this the same as whooping cough?,1
"My doctor ordered only a 4-test ENA panel, not a 6-test ENA panel.  Will something be missed?",1
My doctor ordered more blood cultures after the initial cultures were drawn. Why?,1
My doctor ordered a test for albumin-corrected calcium. What is it?,1
My doctor ordered a stool osmolality test. Why?,1
My doctor instructed me to take my iron supplement and then have an iron test done.  Why would that be?,1
My creatinine result is slightly out of range. What does this mean?,1
Mycoplasma DNA Testing,1
"Mycoplasma Culture, genital source",1
Mycoplasma,1
Mycophenolic Acid,1
My complete blood count (CBC) report includes a result for reticulocyte hemoglobin. What is it?,1
My complete blood count (CBC) report includes a result for immature platelet fraction (IPF). What is it?,1
My complete blood count (CBC) report includes a result for immature granulocytes (IG). What are they?,1
"Mycobacterium tuberculosis, the cause of TB. Image credit: National Institute of Allergies and Infectious Diseases",1
"Mycobacterium tuberculosis, the bacterium that causes tuberculosis. Image credit: National Institute of Allergies and Infectious Diseases",1
My chloride level is only slightly out of range. What does this mean?,1
My CBC report includes a result for reticulocyte hemoglobin. What is it?,1
My CBC report includes a result for immature platelet fraction (IPF). What is it?,1
My CBC report includes a result for immature granulocytes (IG). What are they?,1
My BUN result is slightly out of range. What does this mean?,1
My bicarbonate level is only slightly out of range. What does this mean?,1
"Myasthenia Gravis (MG) Evaluation, serum",1
"My allergy test was negative, but I continue to have symptoms. What else could it be?",1
My allergy symptoms are generally mild. How serious is this really?,1
"Muscle-Specific Kinase (MuSK) Autoantibody, Serum",1
MTHFR Mutation,1
MRSA Screening,1
My father has been diagnosed with early onset Alzheimer disease. Can my doctor tell if my father has a genetic mutation without a blood test?,1
My healthcare practitioner ordered a test for thiopurine metabolites. What is it and how is it related to TPMT testing?,1
"Occult Blood Test, Fecal",1
My healthcare practitioner said I had symptoms of a urinary tract infection and prescribed antibiotics without performing a urine culture. Why?,1
N-terminal pro b-type Natriuretic Peptide,1
"Normal blood cells (left) and the blood cells in Sickle cell disease, which do not flow through the circulatory system smoothly. Image credit: Darryl Leja, NHGRI",1
Non-Invasive Prenatal Screening (NIPS),1
Non-High Density Lipoprotein Cholesterol,1
Nitrite,1
Nicotine and Cotinine,1
Nicotine,1
Neutrophils,1
"My uric acid level is high, but I don't have gout. What does this mean?",1
My sodium level is only slightly out of range. What does this mean?,1
"My report mentions ""giant platelets."" What are they?",1
"My report mentions a ""left shift."" What does this mean?",1
My report includes mean platelet volume (MPV) and platelet distribution width (PDW). What are they?,1
My report includes an M/E ratio. What is it?,1
My RBC count is slightly out of range. What does this mean?,1
"My PT/INR results vary sometimes, yet my doctor doesn’t change my prescription. Why?",1
My potassium level is only slightly out of range. What does this mean?,1
My platelet count is low. How can I increase it?,1
Myoglobin,1
My newborn had a TSH test done. Why?,1
My newborn had an MMA test done. Why?,1
My newborn had an immunoglobulin test. Why?,1
My newborn had a homocysteine test done. Why?,1
My newborn had a free T4 test. Why?,1
My mother was diagnosed as having porphyria many years ago but has not had any symptoms since then. Why is this?,1
My lab report includes a cholesterol ratio. What is it?,1
"My iron level is normal, but my ferritin level is low. Why is that?",1
"My healthcare practitioner's office called to say they need a new urine sample, the first was contaminated. What happened?",1
My healthcare practitioner says my viral load is too low for drug resistance testing. Why?,1
The names HTLV and HIV look and sound similar – are these diseases related?,1
"To help prevent the flu, the CDC recommends annual influenza vaccination for everyone 6 months and older. Image credit: Doug Jordan, CDC",1
Theophylline and Caffeine,1
What treatments are recommended if I have unhealthy lipid levels?,1
What tests are usually done to evaluate a person for Alzheimer disease?,1
What tests may be done in follow up to an abnormal liver panel to help determine the cause of liver injury?,1
What treatment is prescribed for abnormal chloride levels?,1
What treatments are recommended for high LDL-C levels?,1
What treatments are recommended for high non-HDL-C levels?,1
What treatments are recommended for low HDL-C levels?,1
What type of nutrition is recommended for optimal protein levels?,1
Who performs MTHFR testing?,1
What type of sample is used?,1
What type of testing is used to confirm infection with these microorganisms?,1
What types of fish have higher levels of mercury?,1
What types of infections can lead to sepsis?,1
When can my child go back to school?,1
When do people typically get measles and mumps vaccinations?,1
What strategies can be used to lower triglyceride levels?,1
What steps should a pregnant woman (or anyone else) take to prevent toxoplasmosis infection?,1
What signs and symptoms are seen with excess GH and IGF-1 production?,1
What signs and symptoms are seen with deficient GH and IGF-1?,1
What should I do if I forget to take my medication on time?,1
What should I do if I forget to save one urine sample during the collection?,1
What should I ask my healthcare practitioner before taking prescription opioids?,1
What puts me at risk for recurrent urinary tract infections?,1
What proportion of infertility cases are caused by male fertility problems?,1
